Silicon Graphics RGB Bitmap,image/x-rgb,.rgb
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res
BusinessObjects,application/vnd.businessobjects,.rep
RemoteDocs R-Viewer,application/vnd.data-vision.rdz,.rdz
Resource Description Framework,application/rdf+xml,.rdf
IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile
CMU Image,image/x-cmu-raster,.ras
RAR Archive,application/x-rar-compressed,.rar
Real Audio Sound,audio/x-pn-realaudio,.ram
QuarkXpress,application/vnd.quark.quarkxpress,.qxd
Quicktime Video,video/quicktime,.qt
PubliShare Objects,application/vnd.publishare-delta-tree,.qps
Quicken,application/vnd.intu.qfx,.qfx
Open Financial Exchange,application/vnd.intu.qbo,.qbo
QuickAnime Player,application/vnd.epson.quickanime,.qam
Microsoft PlayReady Ecosystem Video,video/vnd.ms-playready.media.pyv,.pyv
Microsoft PlayReady Ecosystem,audio/vnd.ms-playready.media.pya,.pya
3M Post It Notes,application/vnd.3m.post-it-notes,.pwn
3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb
Microsoft Publisher,application/x-mspublisher,.pub
Princeton Video Image,application/vnd.pvi.ptid1,.ptid
Portable Symmetric Key Container,application/pskc+xml,.pskcxml
PSF Fonts,application/x-font-linux-psf,.psf
Photoshop Document,image/vnd.adobe.photoshop,.psd
3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb
PICSRules,application/pics-rules,.prf
Lotus Freelance,application/vnd.lotus-freelance,.pre
Mobipocket,application/x-mobipocket-ebook,.prc
Microsoft Office - OOXML - Presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx
Microsoft PowerPoint - Macro-Enabled Presentation File,application/vnd.ms-powerpoint.presentation.macroenabled.12,.pptm
Microsoft PowerPoint,application/vnd.ms-powerpoint,.ppt
Microsoft Office - OOXML - Presentation (Slideshow),application/vnd.openxmlformats-officedocument.presentationml.slideshow,.ppsx
Microsoft PowerPoint - Macro-Enabled Slide Show File,application/vnd.ms-powerpoint.slideshow.macroenabled.12,.ppsm
Portable Pixmap Format,image/x-portable-pixmap,.ppm
Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd
Microsoft PowerPoint - Add-in file,application/vnd.ms-powerpoint.addin.macroenabled.12,.ppam
Microsoft Office - OOXML - Presentation Template,application/vnd.openxmlformats-officedocument.presentationml.template,.potx
Microsoft PowerPoint - Macro-Enabled Template File,application/vnd.ms-powerpoint.template.macroenabled.12,.potm
MacPorts Port System,application/vnd.macports.portpkg,.portpkg
Portable Anymap Image,image/x-portable-anymap,.pnm
Portable Network Graphics (PNG),image/png,.png
Portable Network Graphics (PNG) (x-token),image/x-png,.png
Portable Network Graphics (PNG) (Citrix client),image/x-citrix-png,.png
PosML,application/vnd.ctc-posml,.pml
Pronunciation Lexicon Specification,application/pls+xml,.pls
PocketLearn Viewers,application/vnd.pocketlearn,.plf
Mobius Management Systems - Policy Definition Language File,application/vnd.mobius.plc,.plc
3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb
Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath
Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki
JPEG Image (Progressive),image/pjpeg,.pjpeg
PICT Image,image/x-pict,.pic
Pretty Good Privacy,application/pgp-encrypted,.pgp
Pretty Good Privacy - Signature,application/pgp-signature,.pgp
Portable Game Notation (Chess Games),application/x-chess-pgn,.pgn
Portable Graymap Format,image/x-portable-graymap,.pgm
Portable Font Resource,application/font-tdpfr,.pfr
PostScript Fonts,application/x-font-type1,.pfa
Adobe Portable Document Format,application/pdf,.pdf
PalmOS Data,application/vnd.palm,.pdb
PCX Image,image/x-pcx,.pcx
CURL Applet,application/vnd.curl.pcurl,.pcurl
PCL 6 Enhanced (Formely PCL XL),application/vnd.hp-pclxl,.pclxl
HP Printer Command Language,application/vnd.hp-pcl,.pcl
Portable Compiled Format,application/x-font-pcf,.pcf
Portable Bitmap Format,image/x-portable-bitmap,.pbm
PowerBuilder,application/vnd.powerbuilder6,.pbd
PawaaFILE,application/vnd.pawaafile,.paw
BAS Partitur Format,text/plain-bas,.par
PKCS #8 - Private-Key Information Syntax Standard,application/pkcs8,.p8
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-signature,.p7s
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response),application/x-pkcs7-certreqresp,.p7r
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-mime,.p7m
PKCS #7 - Cryptographic Message Syntax Standard (Certificates),application/x-pkcs7-certificates,.p7b
PKCS #12 - Personal Information Exchange Syntax Standard,application/x-pkcs12,.p12
PKCS #10 - Certification Request Standard,application/pkcs10,.p10
Pascal Source File,text/x-pascal,.p
Open Office Extension,application/vnd.openofficeorg.extension,.oxt
OpenDocument Text Template,application/vnd.oasis.opendocument.text-template,.ott
OpenDocument Spreadsheet Template,application/vnd.oasis.opendocument.spreadsheet-template,.ots
OpenDocument Presentation Template,application/vnd.oasis.opendocument.presentation-template,.otp
OpenDocument Image Template,application/vnd.oasis.opendocument.image-template,.oti
Open Document Text Web,application/vnd.oasis.opendocument.text-web,.oth
OpenDocument Graphics Template,application/vnd.oasis.opendocument.graphics-template,.otg
OpenType Font File,application/x-font-otf,.otf
OpenDocument Chart Template,application/vnd.oasis.opendocument.chart-template,.otc
OSFPVG,application/vnd.yamaha.openscoreformat.osfpvg+xml,.osfpvg
Open Score Format,application/vnd.yamaha.openscoreformat,.osf
Lotus Organizer,application/vnd.lotus-organizer,.org
Open eBook Publication Structure,application/oebps-package+xml,.opf
Microsoft OneNote,application/onenote,.onetoc
Ogg,application/ogg,.ogx
Ogg Video,video/ogg,.ogv
Ogg Audio,audio/ogg,.oga
OpenDocument Text,application/vnd.oasis.opendocument.text,.odt
OpenDocument Spreadsheet,application/vnd.oasis.opendocument.spreadsheet,.ods
OpenDocument Presentation,application/vnd.oasis.opendocument.presentation,.odp
OpenDocument Text Master,application/vnd.oasis.opendocument.text-master,.odm
OpenDocument Image,application/vnd.oasis.opendocument.image,.odi
OpenDocument Graphics,application/vnd.oasis.opendocument.graphics,.odg
OpenDocument Formula Template,application/vnd.oasis.opendocument.formula-template,.odft
OpenDocument Formula,application/vnd.oasis.opendocument.formula,.odf
OpenDocument Chart,application/vnd.oasis.opendocument.chart,.odc
OpenDocument Database,application/vnd.oasis.opendocument.database,.odb
Office Document Architecture,application/oda,.oda
Microsoft Office Binder,application/x-msbinder,.obd
Fujitsu Oasys,application/vnd.fujitsu.oasys,.oas
Fujitsu Oasys,application/vnd.fujitsu.oasys3,.oa3
Fujitsu Oasys,application/vnd.fujitsu.oasys2,.oa2
Lotus Notes,application/vnd.lotus-notes,.nsf
FlashPix,image/vnd.net-fpx,.npx
NobleNet Web,application/vnd.noblenet-web,.nnw
NobleNet Sealer,application/vnd.noblenet-sealer,.nns
NobleNet Directory,application/vnd.noblenet-directory,.nnd
Enliven Viewer,application/vnd.enliven,.nml
neuroLanguage,application/vnd.neurolanguage.nlu,.nlu
N-Gage Game Data,application/vnd.nokia.n-gage.data,.ngdat
Navigation Control file for XML (for ePub),application/x-dtbncx+xml,.ncx
Network Common Data Form (NetCDF),application/x-netcdf,.nc
Mathematica Notebook Player,application/vnd.wolfram.player,.nbp
Notation3,text/n3,.n3
N-Gage Game Installer,application/vnd.nokia.n-gage.symbian.install,.n-gage
MPEG Url,video/vnd.mpegurl,.mxu
Triscape Map Explorer,application/vnd.triscape.mxs,.mxs
MXML,application/xv+xml,.mxml
Recordare Applications,application/vnd.recordare.musicxml,.mxl
Material Exchange Format,application/mxf,.mxf
Medical Waveform Encoding Format,application/vnd.mfer,.mwf
Microsoft MediaView,application/x-msmediaview,.mvb
Recordare Applications,application/vnd.recordare.musicxml+xml,.musicxml
MUsical Score Interpreted Code Invented for the ASCII designation of Notation,application/vnd.musician,.mus
Virtue MTS,model/vnd.mts,.mts
Muvee Automatic Video Editing,application/vnd.muvee.style,.msty
Mobius Management Systems - Script Language,application/vnd.mobius.msl,.msl
Mesh Data Type,model/mesh,.msh
QUASS Stream Player,application/vnd.epson.msf,.msf
3GPP MSEQ File,application/vnd.mseq,.mseq
Media Server Control Markup Language,application/mediaservercontrol+xml,.mscml
MARC21 XML Schema,application/marcxml+xml,.mrcx
MARC Formats,application/marc,.mrc
Mobius Management Systems - Query File,application/vnd.mobius.mqy,.mqy
MiniPay,application/vnd.ibm.minipay,.mpy
Microsoft Project,application/vnd.ms-project,.mpp
Mophun VM,application/vnd.mophun.application,.mpn
Blueice Research Multipass,application/vnd.blueice.multipass,.mpm
Apple Installer Package,application/vnd.apple.installer+xml,.mpkg
MPEG Audio,audio/mpeg,.mpga
MPEG Video,video/mpeg,.mpeg
Mophun Certificate,application/vnd.mophun.certificate,.mpc
MPEG-4 Audio,audio/mp4,.mp4a
MPEG4,application/mp4,.mp4
MPEG-4 Video,video/mp4,.mp4
SGI Movie,video/x-sgi-movie,.movie
Metadata Object Description Schema,application/mods+xml,.mods
Microsoft Money,application/x-msmoney,.mny
EDMICS 2000,image/vnd.fujixerox.edmics-mmr,.mmr
SMAF File,application/vnd.smaf,.mmf
Karaoke on Chipnuts Chipsets,application/vnd.chipnuts.karaoke-mmd,.mmd
Dolby Meridian Lossless Packing,application/vnd.dolby.mlp,.mlp
Motion JPEG 2000,video/mj2,.mj2
FrameMaker Interchange Format,application/vnd.mif,.mif
MIDI - Musical Instrument Digital Interface,audio/midi,.mid
EFI Proteus,application/vnd.proteus.magazine,.mgz
MapGuide DBXML,application/vnd.osgeo.mapguide.package,.mgp
Melody Format for Mobile Platform,application/vnd.mfmp,.mfm
Metadata Encoding and Transmission Standard,application/mets+xml,.mets
Metalink,application/metalink4+xml,.meta4
Microsoft Document Imaging Format,image/vnd.ms-modi,.mdi
Microsoft Access,application/x-msaccess,.mdb
Curl - Manifest File,text/vnd.curl.mcurl,.mcurl
Micro CADAM Helix D&D,application/vnd.mcd,.mcd
MedCalc,application/vnd.medcalcdata,.mc1
Mbox database files,application/mbox,.mbox
Mobius Management Systems - Basket file,application/vnd.mobius.mbk,.mbk
Mathematical Markup Language,application/mathml+xml,.mathml
EcoWin Chart,application/vnd.ecowin.chart,.mag
Metadata Authority Description Schema,application/mads+xml,.mads
Mathematica Notebooks,application/mathematica,.ma
M4v,video/x-m4v,.m4v
Multimedia Playlist Unicode,application/vnd.apple.mpegurl,.m3u8
M3U (Multimedia Playlist),audio/x-mpegurl,.m3u
MPEG-21,application/mp21,.m21
Lotus Wordpro,application/vnd.lotus-wordpro,.lwp
Lucent Voice,audio/vnd.lucent.voice,.lvp
Frogans Player,application/vnd.frogans.ltf,.ltf
Microsoft Learning Resource Module,application/vnd.ms-lrm,.lrm
ROUTE 66 Location Based Services,application/vnd.route66.link66+xml,.link66
Archipelago Lesson Player,application/vnd.hhe.lesson-player,.les
Life Balance - Exchange Format,application/vnd.llamagraphics.life-balance.exchange+xml,.lbe
Life Balance - Desktop Edition,application/vnd.llamagraphics.life-balance.desktop,.lbd
LaTeX,application/x-latex,.latex
Laser App Enterprise,application/vnd.las.las+xml,.lasxml
KDE KOffice Office Suite - Kword,application/vnd.kde.kword,.kwd
Kahootz,application/vnd.kahootz,.ktz
OpenGL Textures (KTX),image/ktx,.ktx
KDE KOffice Office Suite - Kspread,application/vnd.kde.kspread,.ksp
KDE KOffice Office Suite - Kpresenter,application/vnd.kde.kpresenter,.kpr
KDE KOffice Office Suite - Kontour,application/vnd.kde.kontour,.kon
Kinar Applications,application/vnd.kinar,.kne
Google Earth - Zipped KML,application/vnd.google-earth.kmz,.kmz
Google Earth - KML,application/vnd.google-earth.kml+xml,.kml
Kidspiration,application/vnd.kidspiration,.kia
KDE KOffice Office Suite - Kformula,application/vnd.kde.kformula,.kfo
KDE KOffice Office Suite - Karbon,application/vnd.kde.karbon,.karbon
JavaScript Object Notation (JSON),application/json,.json
JavaScript,application/javascript,.js
JPEG 2000 Compound Image File Format,video/jpm,.jpm
JPGVideo,video/jpeg,.jpgv
JPEG Image,image/jpeg,".jpeg, .jpg"
JPEG Image (Citrix client),image/x-citrix-jpeg,".jpeg, .jpg"
Joda Archive,application/vnd.joost.joda-archive,.joda
Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp
HP Indigo Digital Press - Job Layout Languate,application/vnd.hp-jlyt,.jlt
RhymBox,application/vnd.jisp,.jisp
Java Source File,"text/x-java-source,java",.java
Java Archive,application/java-archive,.jar
Lightspeed Audio Lab,application/vnd.jam,.jam
J2ME App Descriptor,text/vnd.sun.j2me.app-descriptor,.jad
ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu
ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp
Shana Informed Filler,application/vnd.shana.informed.formtemplate,.itp
iRepository / Lucidoc Editor,application/vnd.irepository.package+xml,.irp
IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm
Shana Informed Filler,application/vnd.shana.informed.package,.ipk
Internet Protocol Flow Information Export,application/ipfix,.ipfix
Microsoft Class Server,application/vnd.ms-ims,.ims
Simply Accounting - Data Import,application/vnd.accpac.simply.imp,.imp
Shana Informed Filler,application/vnd.shana.informed.interchange,.iif
Micrografx iGrafx Professional,application/vnd.micrografx.igx,.igx
Initial Graphics Exchange Specification (IGES),model/iges,.igs
IOCOM Visimeet,application/vnd.insors.igm,.igm
igLoader,application/vnd.igloader,.igl
Shana Informed Filler,application/vnd.shana.informed.formdata,.ifm
Image Exchange Format,image/ief,.ief
iCalendar,text/calendar,.ics
Icon Image,image/x-icon,.ico
CoolTalk,x-conference/x-cooltalk,.ice
ICC profile,application/vnd.iccprofile,.icc
Interactive Geometry Software,application/vnd.intergeo,.i2g
HV Script,application/vnd.yamaha.hv-script,.hvs
HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp
HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd
HyperText Markup Language (HTML),text/html,.html
Kenamea App,application/vnd.kenameaapp,.htke
Macintosh BinHex 4.0,application/mac-binhex40,.hqx
Hewlett-Packard's WebPrintSmart,application/vnd.hp-hps,.hps
Hewlett Packard Instant Delivery,application/vnd.hp-hpid,.hpid
HP-GL/2 and HP RTL,application/vnd.hp-hpgl,.hpgl
WinHelp,application/winhlp,.hlp
Hierarchical Data Format,application/x-hdf,.hdf
Homebanking Computer Interface (HBCI),application/vnd.hbci,.hbci
Hypertext Application Language,application/vnd.hal+xml,.hal
H.264,video/h264,.h264
H.263,video/h263,.h263
H.261,video/h261,.h261
GEONExT and JSXGraph,application/vnd.geonext,.gxt
Graphviz,text/vnd.graphviz,.gv
Gen-Trix Studio,model/vnd.gtw,.gtw
